학교명,도로명주소,위도,경도
만덕초등학교,부산광역시 북구 만덕1로 72,35.21504262,129.028845
동양중학교,부산광역시 부산진구 백양산로 96,35.177302,129.0318199
남천초등학교,부산광역시 수영구 남천서로 14,35.14351561,129.1071268
방곡초등학교,부산광역시 기장군 정관면 정관덕산길 61,35.32292968,129.1867088
구포초등학교,부산광역시 북구 백양대로1124번길 20,35.20272144,129.0006961
낙동중학교,부산광역시 강서구 대저로 115,35.21643385,128.9662764
부산진여자중학교,부산광역시 부산진구 동성로 34,35.15445462,129.0694206
해동초등학교,부산광역시 해운대구 우동1로 104,35.17030489,129.1554467
동신초등학교,부산광역시 서구 대영로85번길 81-19,35.11386049,129.0175904
모산초등학교,부산광역시 사상구 모라로110번길 93,35.18571631,128.9952076
가람중학교,부산광역시 북구 낙동북로663번길 55,35.20431722,128.9988799
해운대여자중학교,부산광역시 해운대구 우동1로85번길 25,35.16805143,129.1535665
해동고등학교,부산광역시 사하구 사하로141번나길 11-15,35.09285454,128.9904231
반석초등학교,부산광역시 해운대구 선수촌로207번길 14,35.21140292,129.1249825
망미중학교,부산광역시 수영구 망미배산로 102,35.17566242,129.0985872
장서초등학교,부산광역시 금정구 금강로 453,35.24792973,129.088499
모라초등학교,부산광역시 사상구 모라로64번길 46,35.19004594,128.9864313
